Date,Open,High,Low,Close,Adj Close,Volume
2019-09-20,26532.880859,26564.359375,26410.410156,26435.669922,26435.669922,1972985800
2019-09-23,26463.619141,26483.029297,26186.009766,26222.400391,26222.400391,1285452900
2019-09-24,26300.210938,26391.980469,26207.269531,26281.000000,26281.000000,2089366000
2019-09-25,26162.710938,26190.560547,25917.679688,25945.349609,25945.349609,1762622300
2019-09-26,26075.150391,26099.640625,25917.580078,26041.929688,26041.929688,1700238600
2019-09-27,25977.980469,26017.460938,25840.660156,25954.810547,25954.810547,984279500
2019-09-30,25844.710938,26161.699219,25786.289063,26092.269531,26092.269531,1343934800
2019-10-02,25901.470703,26092.619141,25778.220703,26042.689453,26042.689453,1202153800
2019-10-03,25831.439453,26192.869141,25809.470703,26110.310547,26110.310547,1142351000
2019-10-04,26169.509766,26169.509766,25612.490234,25821.029297,25821.029297,1137243700
2019-10-08,25848.730469,26180.029297,25761.500000,25893.400391,25893.400391,1779110400
2019-10-09,25736.880859,25866.839844,25656.660156,25682.810547,25682.810547,1588334500
2019-10-10,25625.570313,25809.580078,25521.949219,25707.929688,25707.929688,1434231600
2019-10-11,25986.820313,26393.009766,25976.070313,26308.439453,26308.439453,2030977900
2019-10-14,26520.929688,26636.929688,26386.410156,26521.849609,26521.849609,2096251800
2019-10-15,26609.130859,26609.130859,26433.429688,26503.929688,26503.929688,1569211500
2019-10-16,26553.900391,26698.560547,26432.429688,26664.279297,26664.279297,1689389100
2019-10-17,26809.039063,26956.820313,26729.509766,26848.490234,26848.490234,1403839300
2019-10-18,26910.550781,26985.080078,26650.130859,26719.580078,26719.580078,1541856100
2019-10-21,26715.220703,26818.439453,26658.320313,26725.679688,26725.679688,1045151500
2019-10-22,26813.810547,26844.289063,26698.300781,26786.199219,26786.199219,1496851400
2019-10-23,26771.980469,26818.990234,26491.710938,26566.730469,26566.730469,1270778600
2019-10-24,26651.029297,26810.429688,26592.179688,26797.949219,26797.949219,1496729000
2019-10-25,26795.640625,26795.640625,26621.179688,26667.390625,26667.390625,1151226200
2019-10-28,26770.109375,27005.679688,26762.699219,26891.259766,26891.259766,1476176200
2019-10-29,27027.560547,27027.560547,26729.060547,26786.759766,26786.759766,1515348700
2019-10-30,26766.980469,26809.529297,26602.949219,26667.710938,26667.710938,1554112000
2019-10-31,26708.449219,27009.500000,26708.449219,26906.720703,26906.720703,1907594000
2019-11-01,26806.439453,27102.419922,26800.570313,27100.759766,27100.759766,1421451500
2019-11-04,27299.880859,27547.300781,27299.460938,27547.300781,27547.300781,1777502800
2019-11-05,27601.099609,27733.070313,27463.330078,27683.400391,27683.400391,1748633300
2019-11-06,27636.330078,27750.910156,27547.769531,27688.640625,27688.640625,1316670900
2019-11-07,27690.599609,27900.800781,27534.910156,27847.230469,27847.230469,1353594600
2019-11-08,27894.560547,27894.560547,27582.289063,27651.140625,27651.140625,1491797400
